ID_Detalle,ID_Venta,ID_Producto,Cantidad,Precio_Unitario,Descuento,Subtotal,Impuesto,Total,Fecha_Registro
DET00053,VENT0012,PROD0203,2,27.35,4.18,54.7,2.54,53.06,2024-06-04 00:21:40.955492
DET00054,VENT0013,PROD0158,1,32.27,3.74,32.27,3.23,31.76,2024-12-30 00:47:11.242244
DET00055,VENT0013,PROD0331,1,28.21,4.95,28.21,1.4,24.66,2024-12-30 00:47:11.242244
DET00056,VENT0014,PROD0256,2,27.65,0.13,55.3,5.02,60.19,2024-01-14 10:41:23.935561
DET00057,VENT0014,PROD0403,1,23.87,3.16,23.87,0.97,21.68,2024-01-14 10:41:23.935561
DET00058,VENT0014,PROD0498,3,26.42,2.33,79.26,6.96,83.89,2024-01-14 10:41:23.935561
DET00059,VENT0014,PROD0387,4,31.56,2.72,126.24,7.68,131.2,2024-01-14 10:41:23.935561
DET00060,VENT0014,PROD0253,1,24.43,4.25,24.43,1.79,21.97,2024-01-14 10:41:23.935561
DET00061,VENT0014,PROD0440,2,24.43,0.41,48.86,2.7,51.15,2024-01-14 10:41:23.935561
DET00062,VENT0014,PROD0263,4,16.41,4.91,65.64,5.52,66.25,2024-01-14 10:41:23.935561
DET00063,VENT0015,PROD0158,5,32.27,2.85,161.35,16.15,174.65,2024-04-26 18:37:05.310781
DET00064,VENT0015,PROD0217,2,25.83,1.19,51.66,4.92,55.39,2024-04-26 18:37:05.310781
DET00065,VENT0015,PROD0025,3,26.85,3.4,80.55,8.16,85.31,2024-04-26 18:37:05.310781
DET00066,VENT0015,PROD0226,3,16.16,2.33,48.48,3.63,49.78,2024-04-26 18:37:05.310781
DET00067,VENT0015,PROD0198,5,24.33,3.27,121.65,15.65,134.03,2024-04-26 18:37:05.310781
DET00068,VENT0016,PROD0326,1,13.42,3.69,13.42,3.46,13.19,2023-12-24 13:51:56.157467
DET00069,VENT0016,PROD0217,1,25.83,3.32,25.83,2.46,24.97,2023-12-24 13:51:56.157467
DET00070,VENT0016,PROD0136,2,25.19,4.35,50.38,2.72,48.75,2023-12-24 13:51:56.157467
DET00071,VENT0017,PROD0338,5,23.64,2.92,118.2,10.45,125.73,2024-10-24 09:39:37.865949
DET00072,VENT0017,PROD0143,3,15.12,2.29,45.36,10.17,53.24,2024-10-24 09:39:37.865949
DET00073,VENT0017,PROD0399,2,21.83,3.36,43.66,6.56,46.86,2024-10-24 09:39:37.865949
DET00074,VENT0017,PROD0198,5,24.33,4.33,121.65,15.65,132.97,2024-10-24 09:39:37.865949
DET00075,VENT0018,PROD0074,2,15.95,0.74,31.9,2.4,33.56,2023-08-13 06:06:13.708080
DET00076,VENT0018,PROD0141,4,22.79,1.53,91.16,12.32,101.95,2023-08-13 06:06:13.708080
DET00077,VENT0018,PROD0070,1,23.87,3.81,23.87,2.91,22.97,2023-08-13 06:06:13.708080
DET00078,VENT0018,PROD0183,1,27.32,4.3,27.32,0.67,23.69,2023-08-13 06:06:13.708080
DET00079,VENT0018,PROD0442,5,25.25,1.68,126.25,10.6,135.17,2023-08-13 06:06:13.708080
DET00080,VENT0018,PROD0363,5,23.3,1.03,116.5,7.35,122.82,2023-08-13 06:06:13.708080
DET00081,VENT0019,PROD0407,1,25.79,1.96,25.79,2.37,26.2,2024-05-17 13:33:17.388441
DET00082,VENT0019,PROD0269,1,18.98,1.43,18.98,2.27,19.82,2024-05-17 13:33:17.388441
DET00083,VENT0019,PROD0130,4,25.11,4.93,100.44,11.88,107.39,2024-05-17 13:33:17.388441
DET00084,VENT0019,PROD0167,5,22.94,4.85,114.7,16.05,125.9,2024-05-17 13:33:17.388441
DET00085,VENT0019,PROD0442,4,25.25,2.62,101.0,8.48,106.86,2024-05-17 13:33:17.388441
DET00086,VENT0019,PROD0484,1,17.7,2.27,17.7,2.96,18.39,2024-05-17 13:33:17.388441
DET00087,VENT0019,PROD0500,2,16.21,2.31,32.42,3.0,33.11,2024-05-17 13:33:17.388441
DET00088,VENT0019,PROD0459,4,29.42,1.94,117.68,9.4,125.14,2024-05-17 13:33:17.388441
DET00089,VENT0020,PROD0483,3,20.61,3.11,61.83,3.0,61.72,2024-01-13 16:27:04.976021
DET00090,VENT0020,PROD0467,2,15.14,1.92,30.28,4.46,32.82,2024-01-13 16:27:04.976021
DET00091,VENT0021,PROD0267,5,23.85,4.46,119.25,16.95,131.74,2024-09-18 18:51:59.649130
DET00092,VENT0021,PROD0341,1,28.17,2.23,28.17,3.07,29.01,2024-09-18 18:51:59.649130
DET00093,VENT0021,PROD0371,3,15.7,4.54,47.1,3.66,46.22,2024-09-18 18:51:59.649130
DET00094,VENT0021,PROD0146,1,17.32,1.12,17.32,2.45,18.65,2024-09-18 18:51:59.649130
DET00095,VENT0021,PROD0474,1,28.25,2.51,28.25,3.22,28.96,2024-09-18 18:51:59.649130
DET00096,VENT0021,PROD0410,5,17.6,2.62,88.0,3.65,89.03,2024-09-18 18:51:59.649130
DET00097,VENT0021,PROD0251,4,22.64,4.25,90.56,3.84,90.15,2024-09-18 18:51:59.649130
DET00098,VENT0021,PROD0194,5,27.51,2.59,137.55,15.4,150.36,2024-09-18 18:51:59.649130
DET00099,VENT0022,PROD0243,4,17.25,4.93,69.0,8.6,72.67,2023-11-06 06:41:06.310902
DET00100,VENT0022,PROD0384,5,28.36,2.39,141.8,15.4,154.81,2023-11-06 06:41:06.310902
DET00101,VENT0022,PROD0500,2,16.21,2.08,32.42,3.0,33.34,2023-11-06 06:41:06.310902
DET00102,VENT0022,PROD0147,2,24.31,4.89,48.62,4.84,48.57,2023-11-06 06:41:06.310902
DET00103,VENT0022,PROD0465,3,27.25,3.99,81.75,1.74,79.5,2023-11-06 06:41:06.310902
DET00104,VENT0022,PROD0138,4,27.21,2.63,108.84,6.76,112.97,2023-11-06 06:41:06.310902
DET00105,VENT0022,PROD0472,5,25.27,2.34,126.35,4.2,128.21,2023-11-06 06:41:06.310902
DET00106,VENT0023,PROD0309,4,26.43,4.15,105.72,4.52,106.09,2024-10-06 10:16:48.085019
DET00107,VENT0023,PROD0248,4,17.57,1.66,70.28,4.76,73.38,2024-10-06 10:16:48.085019
DET00108,VENT0023,PROD0304,3,23.35,3.05,70.05,4.08,71.08,2024-10-06 10:16:48.085019
DET00109,VENT0023,PROD0174,3,27.12,1.72,81.36,1.59,81.23,2024-10-06 10:16:48.085019
DET00110,VENT0023,PROD0275,2,24.41,4.32,48.82,5.24,49.74,2024-10-06 10:16:48.085019
DET00111,VENT0023,PROD0061,4,19.71,4.53,78.84,6.92,81.23,2024-10-06 10:16:48.085019
DET00112,VENT0024,PROD0479,5,25.84,4.17,129.2,4.95,129.98,2025-01-16 06:28:39.160601
DET00113,VENT0025,PROD0392,5,25.7,3.25,128.5,8.65,133.9,2023-11-11 00:10:33.216474
DET00114,VENT0025,PROD0322,1,17.11,2.47,17.11,3.37,18.01,2023-11-11 00:10:33.216474
DET00115,VENT0025,PROD0212,5,17.92,4.51,89.6,15.0,100.09,2023-11-11 00:10:33.216474
DET00116,VENT0025,PROD0399,4,21.83,2.62,87.32,13.12,97.82,2023-11-11 00:10:33.216474
DET00117,VENT0025,PROD0238,4,25.35,4.85,101.4,12.84,109.39,2023-11-11 00:10:33.216474
DET00118,VENT0025,PROD0063,2,16.6,1.75,33.2,5.22,36.67,2023-11-11 00:10:33.216474
DET00119,VENT0025,PROD0275,3,24.41,2.28,73.23,7.86,78.81,2023-11-11 00:10:33.216474
DET00120,VENT0025,PROD0156,3,19.43,1.39,58.29,3.81,60.71,2023-11-11 00:10:33.216474
DET00121,VENT0025,PROD0243,3,17.25,4.27,51.75,6.45,53.93,2023-11-11 00:10:33.216474
DET00122,VENT0026,PROD0477,5,27.14,3.91,135.7,9.6,141.39,2024-09-05 09:36:40.571301
DET00123,VENT0026,PROD0135,5,24.43,4.99,122.15,11.1,128.26,2024-09-05 09:36:40.571301
DET00124,VENT0026,PROD0354,1,26.38,4.89,26.38,1.56,23.05,2024-09-05 09:36:40.571301
DET00125,VENT0026,PROD0482,3,21.51,1.35,64.53,2.01,65.19,2024-09-05 09:36:40.571301
DET00126,VENT0026,PROD0195,4,25.2,0.68,100.8,5.36,105.48,2024-09-05 09:36:40.571301
DET00127,VENT0026,PROD0489,5,27.88,4.59,139.4,14.1,148.91,2024-09-05 09:36:40.571301
DET00128,VENT0026,PROD0138,1,27.21,3.15,27.21,1.69,25.75,2024-09-05 09:36:40.571301
DET00129,VENT0026,PROD0296,1,26.08,3.49,26.08,1.12,23.71,2024-09-05 09:36:40.571301
DET00130,VENT0026,PROD0212,1,17.92,2.57,17.92,3.0,18.35,2024-09-05 09:36:40.571301
DET00131,VENT0026,PROD0317,3,19.22,3.85,57.66,2.97,56.78,2024-09-05 09:36:40.571301
DET00132,VENT0027,PROD0033,1,16.54,3.38,16.54,1.48,14.64,2024-02-24 03:04:18.665212
DET00133,VENT0027,PROD0316,1,18.28,3.87,18.28,1.45,15.86,2024-02-24 03:04:18.665212
DET00134,VENT0027,PROD0169,5,26.68,1.07,133.4,12.25,144.58,2024-02-24 03:04:18.665212
DET00135,VENT0027,PROD0099,1,20.43,1.24,20.43,1.86,21.05,2024-02-24 03:04:18.665212
DET00136,VENT0027,PROD0417,1,27.32,1.69,27.32,1.9,27.53,2024-02-24 03:04:18.665212
DET00137,VENT0027,PROD0220,1,11.43,2.82,11.43,3.06,11.67,2024-02-24 03:04:18.665212
DET00138,VENT0027,PROD0042,1,23.98,1.13,23.98,0.55,23.4,2024-02-24 03:04:18.665212
DET00139,VENT0027,PROD0046,1,25.91,3.24,25.91,0.91,23.58,2024-02-24 03:04:18.665212
DET00140,VENT0028,PROD0367,4,18.67,4.01,74.68,2.48,73.15,2023-07-16 01:06:11.363979
DET00141,VENT0028,PROD0121,4,14.43,1.99,57.72,6.96,62.69,2023-07-16 01:06:11.363979
DET00142,VENT0028,PROD0250,5,18.22,4.2,91.1,16.65,103.55,2023-07-16 01:06:11.363979
DET00143,VENT0028,PROD0461,1,17.21,3.66,17.21,0.86,14.41,2023-07-16 01:06:11.363979
DET00144,VENT0029,PROD0131,1,13.07,1.5,13.07,0.97,12.54,2024-02-29 11:16:08.580569
DET00145,VENT0029,PROD0128,4,17.92,2.12,71.68,7.68,77.24,2024-02-29 11:16:08.580569
DET00146,VENT0029,PROD0349,2,24.54,2.46,49.08,3.02,49.64,2024-02-29 11:16:08.580569
DET00147,VENT0029,PROD0043,3,22.38,2.19,67.14,5.28,70.23,2024-02-29 11:16:08.580569
DET00148,VENT0029,PROD0243,2,17.25,1.09,34.5,4.3,37.71,2024-02-29 11:16:08.580569
DET00149,VENT0030,PROD0069,4,27.58,3.26,110.32,5.04,112.1,2024-12-01 10:28:16.171067
DET00150,VENT0030,PROD0356,4,24.82,4.41,99.28,7.6,102.47,2024-12-01 10:28:16.171067
DET00151,VENT0030,PROD0186,4,22.53,0.85,90.12,11.6,100.87,2024-12-01 10:28:16.171067
DET00152,VENT0030,PROD0311,2,31.72,1.04,63.44,2.72,65.12,2024-12-01 10:28:16.171067
DET00153,VENT0030,PROD0233,2,13.07,2.18,26.14,4.16,28.12,2024-12-01 10:28:16.171067
DET00154,VENT0030,PROD0258,2,20.85,0.93,41.7,4.44,45.21,2024-12-01 10:28:16.171067
DET00155,VENT0030,PROD0016,4,24.13,0.62,96.52,10.48,106.38,2024-12-01 10:28:16.171067
DET00156,VENT0031,PROD0204,3,20.48,4.6,61.44,4.26,61.1,2024-11-18 08:26:39.375982
DET00157,VENT0031,PROD0019,4,21.02,4.25,84.08,11.08,90.91,2024-11-18 08:26:39.375982
DET00158,VENT0031,PROD0493,4,15.67,4.93,62.68,6.12,63.87,2024-11-18 08:26:39.375982
DET00159,VENT0031,PROD0049,1,22.09,0.37,22.09,1.15,22.87,2024-11-18 08:26:39.375982
DET00160,VENT0031,PROD0256,3,27.65,2.09,82.95,7.53,88.39,2024-11-18 08:26:39.375982
DET00161,VENT0031,PROD0139,1,18.49,0.45,18.49,3.45,21.49,2024-11-18 08:26:39.375982
DET00162,VENT0031,PROD0289,4,16.17,3.96,64.68,8.36,69.08,2024-11-18 08:26:39.375982
DET00163,VENT0031,PROD0305,1,20.81,3.96,20.81,2.24,19.09,2024-11-18 08:26:39.375982
DET00164,VENT0032,PROD0201,5,19.21,0.98,96.05,9.65,104.72,2023-08-23 21:05:31.913833
DET00165,VENT0032,PROD0438,2,29.89,2.98,59.78,5.16,61.96,2023-08-23 21:05:31.913833
DET00166,VENT0032,PROD0264,2,24.07,4.35,48.14,3.0,46.79,2023-08-23 21:05:31.913833
DET00167,VENT0032,PROD0049,5,22.09,4.61,110.45,5.75,111.59,2023-08-23 21:05:31.913833
DET00168,VENT0032,PROD0459,2,29.42,3.79,58.84,4.7,59.75,2023-08-23 21:05:31.913833
DET00169,VENT0032,PROD0473,4,29.37,3.99,117.48,3.44,116.93,2023-08-23 21:05:31.913833
DET00170,VENT0032,PROD0214,5,25.79,4.3,128.95,4.95,129.6,2023-08-23 21:05:31.913833
DET00171,VENT0032,PROD0207,3,15.48,2.24,46.44,7.05,51.25,2023-08-23 21:05:31.913833
DET00172,VENT0032,PROD0243,4,17.25,2.5,69.0,8.6,75.1,2023-08-23 21:05:31.913833
DET00173,VENT0032,PROD0088,4,21.66,2.26,86.64,5.4,89.78,2023-08-23 21:05:31.913833
DET00174,VENT0033,PROD0042,4,23.98,4.51,95.92,2.2,93.61,2023-06-04 18:06:51.274707
DET00175,VENT0033,PROD0252,1,22.77,4.29,22.77,1.94,20.42,2023-06-04 18:06:51.274707
DET00176,VENT0033,PROD0324,1,24.97,4.41,24.97,0.52,21.08,2023-06-04 18:06:51.274707
DET00177,VENT0033,PROD0407,1,25.79,3.33,25.79,2.37,24.83,2023-06-04 18:06:51.274707
DET00178,VENT0033,PROD0308,1,25.06,4.56,25.06,2.95,23.45,2023-06-04 18:06:51.274707
DET00179,VENT0033,PROD0178,2,24.16,2.04,48.32,5.52,51.8,2023-06-04 18:06:51.274707
DET00180,VENT0033,PROD0242,5,23.21,4.5,116.05,17.2,128.75,2023-06-04 18:06:51.274707
DET00181,VENT0033,PROD0190,5,23.79,4.41,118.95,16.5,131.04,2023-06-04 18:06:51.274707
DET00182,VENT0034,PROD0061,4,19.71,4.14,78.84,6.92,81.62,2024-03-10 20:06:13.260996
DET00183,VENT0034,PROD0253,5,24.43,1.7,122.15,8.95,129.4,2024-03-10 20:06:13.260996
DET00184,VENT0034,PROD0311,1,31.72,0.55,31.72,1.36,32.53,2024-03-10 20:06:13.260996
DET00185,VENT0034,PROD0211,1,23.51,2.14,23.51,2.08,23.45,2024-03-10 20:06:13.260996
DET00186,VENT0034,PROD0047,4,30.42,2.68,121.68,10.76,129.76,2024-03-10 20:06:13.260996
DET00187,VENT0034,PROD0259,3,20.4,3.97,61.2,6.39,63.62,2024-03-10 20:06:13.260996
DET00188,VENT0035,PROD0215,3,20.81,1.71,62.43,2.73,63.45,2025-05-18 13:57:18.347071
DET00189,VENT0035,PROD0044,5,20.32,1.01,101.6,11.25,111.84,2025-05-18 13:57:18.347071
DET00190,VENT0035,PROD0405,1,17.16,2.26,17.16,1.86,16.76,2025-05-18 13:57:18.347071
DET00191,VENT0035,PROD0214,3,25.79,2.03,77.37,2.97,78.31,2025-05-18 13:57:18.347071
DET00192,VENT0035,PROD0020,4,29.92,0.47,119.68,5.36,124.57,2025-05-18 13:57:18.347071
DET00193,VENT0035,PROD0466,4,30.23,1.92,120.92,3.32,122.32,2025-05-18 13:57:18.347071
DET00194,VENT0035,PROD0130,2,25.11,2.99,50.22,5.94,53.17,2025-05-18 13:57:18.347071
DET00195,VENT0035,PROD0030,3,17.93,4.5,53.79,4.56,53.85,2025-05-18 13:57:18.347071
DET00196,VENT0035,PROD0249,5,13.04,4.76,65.2,14.05,74.49,2025-05-18 13:57:18.347071
DET00197,VENT0035,PROD0290,1,28.06,1.08,28.06,1.0,27.98,2025-05-18 13:57:18.347071
DET00198,VENT0036,PROD0139,1,18.49,2.12,18.49,3.45,19.82,2023-09-28 18:31:40.773827
DET00199,VENT0036,PROD0077,4,20.22,2.87,80.88,8.68,86.69,2023-09-28 18:31:40.773827
DET00200,VENT0036,PROD0410,5,17.6,3.7,88.0,3.65,87.95,2023-09-28 18:31:40.773827
DET00201,VENT0037,PROD0172,5,18.68,2.64,93.4,4.25,95.01,2023-06-07 16:08:56.625166
DET00202,VENT0037,PROD0333,2,15.83,3.48,31.66,4.62,32.8,2023-06-07 16:08:56.625166
DET00203,VENT0037,PROD0308,1,25.06,2.26,25.06,2.95,25.75,2023-06-07 16:08:56.625166
DET00204,VENT0037,PROD0396,5,15.93,2.63,79.65,14.7,91.72,2023-06-07 16:08:56.625166
DET00205,VENT0038,PROD0016,2,24.13,3.89,48.26,5.24,49.61,2025-01-15 23:46:16.180708
DET00206,VENT0038,PROD0411,2,16.83,2.93,33.66,6.64,37.37,2025-01-15 23:46:16.180708
DET00207,VENT0038,PROD0085,2,22.89,1.12,45.78,1.44,46.1,2025-01-15 23:46:16.180708
DET00208,VENT0038,PROD0068,4,24.04,3.47,96.16,3.52,96.21,2025-01-15 23:46:16.180708
DET00209,VENT0038,PROD0362,4,18.83,1.36,75.32,5.68,79.64,2025-01-15 23:46:16.180708
DET00210,VENT0038,PROD0367,3,18.67,3.2,56.01,1.86,54.67,2025-01-15 23:46:16.180708
DET00211,VENT0038,PROD0499,1,22.98,0.6,22.98,2.14,24.52,2025-01-15 23:46:16.180708
DET00212,VENT0038,PROD0205,5,14.21,4.45,71.05,9.4,76.0,2025-01-15 23:46:16.180708
DET00213,VENT0038,PROD0338,2,23.64,0.73,47.28,4.18,50.73,2025-01-15 23:46:16.180708
DET00214,VENT0039,PROD0458,3,23.33,4.37,69.99,3.63,69.25,2023-12-05 00:26:33.330735
DET00215,VENT0039,PROD0489,4,27.88,3.46,111.52,11.28,119.34,2023-12-05 00:26:33.330735
DET00216,VENT0039,PROD0125,1,26.23,0.72,26.23,1.85,27.36,2023-12-05 00:26:33.330735
DET00217,VENT0039,PROD0153,3,20.04,0.96,60.12,3.57,62.73,2023-12-05 00:26:33.330735
DET00218,VENT0039,PROD0319,2,21.47,4.44,42.94,2.68,41.18,2023-12-05 00:26:33.330735
DET00219,VENT0039,PROD0480,1,17.3,3.1,17.3,1.35,15.55,2023-12-05 00:26:33.330735
DET00220,VENT0039,PROD0281,4,19.15,0.53,76.6,6.04,82.11,2023-12-05 00:26:33.330735
DET00221,VENT0040,PROD0073,4,22.97,0.25,91.88,2.48,94.11,2025-01-11 02:21:45.021472
DET00222,VENT0040,PROD0348,3,21.52,2.49,64.56,3.21,65.28,2025-01-11 02:21:45.021472
DET00223,VENT0040,PROD0264,3,24.07,2.05,72.21,4.5,74.66,2025-01-11 02:21:45.021472
DET00224,VENT0040,PROD0382,1,26.92,0.82,26.92,2.93,29.03,2025-01-11 02:21:45.021472
DET00225,VENT0040,PROD0443,2,26.94,2.36,53.88,3.4,54.92,2025-01-11 02:21:45.021472
DET00226,VENT0040,PROD0074,5,15.95,1.85,79.75,6.0,83.9,2025-01-11 02:21:45.021472
DET00227,VENT0040,PROD0451,2,26.94,1.99,53.88,3.98,55.87,2025-01-11 02:21:45.021472
DET00228,VENT0040,PROD0294,5,18.85,3.63,94.25,13.95,104.57,2025-01-11 02:21:45.021472
DET00229,VENT0041,PROD0405,3,17.16,0.51,51.48,5.58,56.55,2024-01-20 06:09:15.595663
DET00230,VENT0041,PROD0219,5,13.25,3.83,66.25,11.05,73.47,2024-01-20 06:09:15.595663
DET00231,VENT0041,PROD0429,1,29.73,3.32,29.73,2.18,28.59,2024-01-20 06:09:15.595663
DET00232,VENT0041,PROD0243,5,17.25,0.09,86.25,10.75,96.91,2024-01-20 06:09:15.595663
DET00233,VENT0041,PROD0385,2,21.06,2.64,42.12,4.86,44.34,2024-01-20 06:09:15.595663
DET00234,VENT0041,PROD0386,1,27.39,1.85,27.39,2.27,27.81,2024-01-20 06:09:15.595663
DET00235,VENT0042,PROD0205,3,14.21,1.16,42.63,5.64,47.11,2025-01-20 09:29:30.311045
DET00236,VENT0042,PROD0055,2,26.46,3.31,52.92,5.04,54.65,2025-01-20 09:29:30.311045
DET00237,VENT0043,PROD0466,4,30.23,3.94,120.92,3.32,120.3,2024-05-29 22:30:38.094162
DET00238,VENT0043,PROD0311,4,31.72,1.6,126.88,5.44,130.72,2024-05-29 22:30:38.094162
DET00239,VENT0043,PROD0383,2,21.16,2.52,42.32,3.32,43.12,2024-05-29 22:30:38.094162
DET00240,VENT0043,PROD0084,2,31.12,1.98,62.24,4.82,65.08,2024-05-29 22:30:38.094162
DET00241,VENT0043,PROD0385,3,21.06,0.43,63.18,7.29,70.04,2024-05-29 22:30:38.094162
DET00242,VENT0043,PROD0154,3,23.53,4.98,70.59,6.6,72.21,2024-05-29 22:30:38.094162
DET00243,VENT0044,PROD0291,2,15.87,2.84,31.74,1.82,30.72,2025-02-15 18:22:16.495574
DET00244,VENT0044,PROD0015,1,18.4,3.69,18.4,2.91,17.62,2025-02-15 18:22:16.495574
DET00245,VENT0044,PROD0332,4,24.11,3.06,96.44,6.8,100.18,2025-02-15 18:22:16.495574
DET00246,VENT0044,PROD0424,1,20.12,0.93,20.12,2.91,22.1,2025-02-15 18:22:16.495574
DET00247,VENT0044,PROD0200,4,18.72,2.88,74.88,5.36,77.36,2025-02-15 18:22:16.495574
DET00248,VENT0044,PROD0430,5,13.28,0.04,66.4,15.2,81.56,2025-02-15 18:22:16.495574
DET00249,VENT0044,PROD0237,3,21.93,4.76,65.79,2.28,63.31,2025-02-15 18:22:16.495574
DET00250,VENT0045,PROD0182,2,18.62,0.63,37.24,1.54,38.15,2024-02-01 15:13:20.693727
DET00251,VENT0045,PROD0472,4,25.27,1.73,101.08,3.36,102.71,2024-02-01 15:13:20.693727
DET00252,VENT0045,PROD0261,2,12.74,3.18,25.48,6.76,29.06,2024-02-01 15:13:20.693727
